HORA (UTC);PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);Unnamed: 19;municipio;estado;ano;mes;dia
21:00;0.0;1002.6;1002.8;1002.6;386;29.4;23.1;29.8;29.4;23.3;22.6;69;65;69;96;2.9;0.8;;Manaus;AM;2000;5;9
22:00;0.0;1002.8;1002.8;1002.5;184;26.9;24.1;29.5;26.9;24.3;22.8;85;68;84;184;1.9;0.1;;Manaus;AM;2000;5;9
11:00;0.0;1006.8;1006.8;1006.3;207;25.2;24.5;25.2;23.9;24.5;23.5;98;96;96;270;1.0;0.3;;Manaus;AM;2000;5;10
12:00;0.0;1007.7;1007.7;1006.8;745;27.1;25.2;27.4;25.2;25.2;24.5;96;85;89;204;1.1;0.4;;Manaus;AM;2000;5;10
13:00;0.0;1008.3;1008.3;1007.8;916;28.1;23.8;28.1;26.9;25.6;23.8;91;78;78;64;1.5;0.7;;Manaus;AM;2000;5;10
14:00;0.0;1008.1;1008.3;1008.1;2176;30.1;23.8;30.2;28.1;24.7;23.5;80;69;69;114;2.5;1.1;;Manaus;AM;2000;5;10
15:00;0.0;1007.9;1008.1;1007.9;2738;29.8;23.2;30.8;29.7;24.7;22.7;72;64;68;103;4.1;1.9;;Manaus;AM;2000;5;10
16:00;0.0;1006.3;1007.8;1006.3;2976;31.0;23.3;31.4;29.5;23.7;21.8;70;58;64;104;3.8;1.7;;Manaus;AM;2000;5;10
17:00;0.0;1005.0;1006.3;1005.0;3179;31.6;22.7;32.1;31.0;24.2;22.5;66;58;59;132;3.8;1.6;;Manaus;AM;2000;5;10
18:00;0.0;1003.8;1005.0;1003.8;2969;31.8;24.0;32.2;31.1;24.2;22.5;64;58;63;136;3.8;1.9;;Manaus;AM;2000;5;10
