HORA (UTC);PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);Unnamed: 19;municipio;estado;ano;mes;dia
14:00;0.0;1004.4;1004.7;1004.4;2305;29.3;25.1;29.3;28.0;25.6;24.4;85;77;78;93;2.8;1.2;;Manaus;AM;2002;1;1
15:00;0.0;1003.6;1004.4;1003.6;1694;29.3;24.3;29.8;28.3;25.5;24.2;81;73;74;284;2.9;0.9;;Manaus;AM;2002;1;1
16:00;0.0;1002.9;1003.6;1002.9;2466;30.8;23.9;31.3;29.3;25.1;23.5;76;65;67;82;5.0;2.1;;Manaus;AM;2002;1;1
17:00;0.0;1001.7;1002.9;1001.7;2341;30.5;24.5;31.3;30.1;24.8;23.7;73;65;70;90;4.6;1.6;;Manaus;AM;2002;1;1
18:00;0.0;1000.6;1001.7;1000.6;1850;30.8;23.7;31.3;30.2;24.6;23.5;71;64;66;73;4.7;1.8;;Manaus;AM;2002;1;1
20:00;0.0;999.3;999.9;999.3;1855;31.7;22.7;31.9;31.4;23.6;22.1;63;57;59;50;5.5;2.2;;Manaus;AM;2002;1;1
21:00;0.0;999.7;999.7;999.3;1509;31.5;22.9;31.9;31.5;23.1;22.2;60;57;60;63;6.3;2.3;;Manaus;AM;2002;1;1
22:00;0.0;1000.5;1000.5;999.7;471;29.9;22.7;31.6;29.9;23.1;22.7;66;60;65;55;4.8;1.9;;Manaus;AM;2002;1;1
23:00;0.0;1001.4;1001.4;1000.5;2;28.3;24.4;29.9;28.3;24.4;22.7;79;65;79;102;3.8;1.9;;Manaus;AM;2002;1;1
17:00;0.0;1003.4;1004.8;1003.4;1438;27.7;23.7;27.7;26.7;23.8;23.0;82;79;79;52;4.6;0.8;;Manaus;AM;2002;1;2
18:00;0.0;1002.2;1003.4;1002.2;1363;27.5;23.5;28.0;27.3;24.0;23.3;81;76;79;112;3.0;1.7;;Manaus;AM;2002;1;2
19:00;0.0;1001.2;1002.2;1001.2;1256;27.7;23.9;27.9;27.5;24.0;23.2;80;77;80;93;3.2;1.6;;Manaus;AM;2002;1;2
20:00;0.0;1000.8;1001.1;1000.8;1114;28.1;24.1;28.1;27.6;24.2;23.5;81;78;79;90;3.3;1.1;;Manaus;AM;2002;1;2
21:00;0.0;1001.2;1001.2;1000.8;1205;28.0;24.0;28.5;27.8;24.3;23.9;80;77;79;97;3.4;1.5;;Manaus;AM;2002;1;2
22:00;0.0;1001.8;1001.8;1001.2;444;27.1;23.8;28.2;27.1;24.1;23.7;82;78;82;106;2.8;1.1;;Manaus;AM;2002;1;2
23:00;0.0;1002.9;1002.9;1001.8;2;25.6;23.6;27.0;25.6;23.8;23.6;89;83;89;222;1.7;0.0;;Manaus;AM;2002;1;2
