ano;mes;estado;municipio;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);Unnamed: 19
2014;1;AC;Feijo;0.5144278606965175;991.9092039800995;992.3721393034825;991.5967661691543;1259.2470149253732;26.39950248756219;23.277114427860695;26.924378109452736;25.736567164179107;23.71592039800995;22.83955223880597;85.84328358208955;81.99004975124379;83.57711442786069;217.07462686567163;4.4691542288557216;1.9542288557213932;
2014;1;AC;Porto walter;0.49675925925925923;986.4615740740742;986.8743055555556;986.125462962963;1049.5340277777777;25.95486111111111;22.597916666666666;26.68888888888889;25.201157407407408;23.177777777777777;22.048148148148147;86.49537037037037;79.10185185185185;82.7199074074074;213.80787037037038;4.638425925925926;1.9405092592592592;
2014;1;AC;Rio branco;0.7552631578947367;984.9622807017544;985.3802631578948;984.652850877193;1100.3651315789473;25.75263157894737;22.363157894736844;26.224122807017544;25.17872807017544;22.852192982456142;21.819298245614036;85.91666666666667;79.09429824561404;82.48684210526316;186.29605263157896;4.9927631578947365;2.1144736842105263;
2014;1;AM;Apui;0.5303703703703704;992.3335802469135;992.7804938271604;992.0049382716049;945.2834567901234;26.43037037037037;22.282716049382717;27.178518518518516;25.604444444444443;22.843456790123458;21.655802469135804;82.84691358024692;75.37283950617284;79.09876543209876;135.69876543209875;3.6602469135802473;0.7237037037037037;
2014;1;AM;Autazes;0.18877551020408162;1007.6227040816326;1008.0507653061225;1007.3265306122449;1195.7056122448978;28.104336734693877;22.875255102040818;28.759183673469387;27.304081632653062;23.517857142857142;22.303571428571427;78.69897959183673;71.3061224489796;74.60969387755102;109.9234693877551;3.9168367346938777;1.1798469387755102;
2014;1;AM;Barcelos;0.17053824362606232;1006.2014164305948;1006.6835694050991;1005.9577903682718;1503.2830028328613;29.14504249291785;23.577620396600565;29.98980169971671;28.164872521246462;24.41898016997167;22.791784702549574;78.69971671388102;69.01699716713881;73.4900849858357;45.696883852691215;5.330311614730878;1.9079320113314449;
2014;1;AM;Boca do acre;0.5783251231527093;997.6312807881773;998.093842364532;997.3194581280788;1124.5379310344829;26.992610837438423;22.50837438423645;27.68103448275862;26.178571428571427;23.08374384236453;21.921921182266008;81.39408866995073;74.03940886699507;77.50246305418719;159.20689655172413;4.4147783251231525;1.676847290640394;
2014;1;AM;Coari;0.3761786600496278;1005.6250620347395;1006.0774193548388;1005.2985111662531;1325.780893300248;28.05483870967742;23.025062034739456;28.795533498759305;27.22307692307692;23.681885856079404;22.41786600496278;79.29032258064517;71.77667493796525;75.24565756823822;129.11166253101737;5.101736972704715;2.120347394540943;
2014;1;AM;Eirunepe;0.7181141439205955;995.9806451612903;996.4406947890818;995.6570719602977;1032.406451612903;26.439950372208436;18.46178660049628;27.098511166253104;25.6605459057072;19.304466501240693;17.635483870967743;68.14888337468983;60.06203473945409;63.65260545905707;156.75434243176178;3.802481389578164;1.119106699751861;
2014;1;AM;Itacoatiara;0.20350877192982458;1005.1561403508771;1005.4630229419703;1004.8421052631579;3207.27354925776;26.59973009446694;23.03859649122807;27.094062078272607;26.144669365722;23.467476383265858;22.656815114709854;84.0472334682861;79.33468286099865;81.76653171390014;180.84345479082322;0.36815114709851554;0.001484480431848853;
2014;1;AM;Labrea;0.4014888337468983;1003.0600496277916;1003.5454094292803;1002.7272952853598;1172.6488833746898;27.374937965260546;23.007196029776676;27.978908188585606;26.601736972704714;23.526550868486353;22.432506203473945;81.74937965260546;74.8833746898263;78.06451612903226;162.4714640198511;3.6387096774193552;1.0330024813895782;
2014;1;AM;Manacapuru;0.5220338983050847;1005.3605326876514;1005.7869249394673;1005.0506053268766;1212.1007263922518;27.95375302663438;22.738014527845035;28.64213075060533;27.176029055690073;23.325423728813558;22.1956416464891;78.24939467312349;71.07990314769975;74.39467312348668;117.7409200968523;4.911380145278451;1.9871670702179178;
2014;1;AM;Manaus;0.31534653465346535;1003.9034653465346;1004.328712871287;1003.5950495049506;1233.8334158415842;28.449257425742573;21.81460396039604;29.12970297029703;27.645049504950496;22.696782178217823;21.150742574257425;74.2871287128713;65.60148514851485;69.14108910891089;94.98019801980197;5.268811881188118;1.9344059405940595;
2014;1;AM;Maues;0.28676056338028166;1007.4073239436619;1007.8788732394366;1007.1743661971832;1344.619718309859;28.01830985915493;23.679718309859155;28.92422535211268;27.16732394366197;24.44507042253521;23.08845070422535;82.90140845070422;74.05633802816901;78.30422535211268;107.87887323943661;4.297464788732394;1.216619718309859;
